step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,49,1,0.5676096382310303,0.0,0.42857142857142855
2,178,2,0.510507003135972,0.0,0.6111111111111112
3,283,3,0.7063934106986732,0.0,0.3125
4,372,4,0.5244510525702075,0.0,0.3333333333333333
5,493,5,0.8980450989939273,0.0,0.6222222222222222
6,550,6,0.7795455574716573,0.0,0.36363636363636365
7,719,7,0.14031927918126233,0.0,0.4
8,752,8,0.7608935165777803,0.0,0.25
9,777,9,1.235520148947835,0.0,0.4444444444444444
10,914,10,0.3563778263153055,0.0,0.5882352941176471
11,971,11,0.3352511428679905,0.0,0.7142857142857143
12,1020,12,0.6432523101480911,0.0,0.7272727272727273
13,1069,13,0.23987291173543782,0.0,0.7142857142857143
14,1118,14,0.5521686519647482,0.0,0.6153846153846154
15,1295,15,0.19079178223987006,0.0,0.5384615384615384
16,1360,16,0.44365241159219293,0.0,0.4
17,1409,17,0.35892049042672924,0.0,0.5882352941176471
18,1498,18,0.06235609872711145,0.0,0.8
19,1595,19,0.1710535742189192,0.0,0.5454545454545454
20,1676,20,0.14329654717560697,0.0,0.7
21,1741,21,0.46645705831155193,0.0,0.5555555555555556
22,1910,22,0.32070790373975927,0.0,0.8
23,1991,23,0.053074617937582974,1.0,1.0
24,2080,24,0.1778198949708398,0.0,0.75
25,2177,25,0.055947082655691815,0.0,0.8
26,2482,26,0.23385878571293495,0.0,0.7058823529411765
27,2531,27,0.16285941165134615,0.0,0.5
28,2652,28,0.16220577027611824,0.0,0.7619047619047619
29,2821,29,0.029947052572965947,1.0,1.0
30,2926,30,0.05171244999879351,0.0,0.8571428571428571
31,2983,31,0.12419624532506401,0.0,0.8333333333333334
32,3144,32,0.21400765595936538,0.0,0.5
33,3169,33,0.21169291653204708,0.0,0.5714285714285714
34,3250,34,0.1725698137397849,0.0,0.5454545454545454
35,3459,35,0.1006080035267433,0.0,0.75
36,3500,36,0.5035559102797124,0.0,0.6363636363636364
37,3597,37,0.42317464408153077,0.0,0.6
38,3790,38,0.0299041395066403,1.0,1.0
39,3855,39,0.03976432870342251,1.0,1.0
40,3888,40,0.27463355404092,0.0,0.625
41,3969,41,0.08371217278571567,0.0,0.8571428571428571
42,4098,42,0.12049867049734872,0.0,0.7857142857142857
43,4491,43,0.05271355814850628,0.0,0.7647058823529411
44,4548,44,0.02828137657006404,1.0,1.0
45,4661,45,0.029889963638543772,1.0,1.0
46,4750,46,0.03212194725955752,1.0,1.0
47,4879,47,0.11567500639599529,0.0,0.6666666666666666
48,4944,48,0.1491844098243382,0.0,0.8
49,5009,49,0.06419250606271817,0.0,0.8333333333333334
50,5114,50,0.07703818182552753,0.0,0.8888888888888888
51,5219,51,0.07488010486693664,0.0,0.9285714285714286
52,5268,52,0.44586692443815995,0.0,0.5555555555555556
53,5317,53,0.11092690466612111,0.0,0.8888888888888888
54,5382,54,0.23198015671687244,0.0,0.7272727272727273
55,5455,55,0.3028517088535874,0.0,0.6666666666666666
56,5504,56,0.08130524148773474,0.0,0.8571428571428571
57,5593,57,0.029111696987524322,1.0,1.0
58,5666,58,0.3435530534543796,0.0,0.6
59,5771,59,0.07793708961262243,0.0,0.8333333333333334
60,5852,60,0.21464870949828768,0.0,0.8333333333333334
61,5973,61,0.18957234915422547,0.0,0.75
62,6030,62,0.11372277613363362,0.0,0.9090909090909091
63,6095,63,0.06187203866924393,0.0,0.875
64,6152,64,0.07360400913233336,0.0,0.8888888888888888
65,6321,65,0.2836091419746489,0.0,0.7954545454545454
66,6450,66,0.04246495577666792,1.0,1.0
67,6507,67,0.6760174303237414,0.0,0.6363636363636364
68,6628,68,0.04518270880886121,0.0,0.8
69,6813,69,0.17999672023213464,0.0,0.6578947368421053
70,6846,70,0.3627080009156816,0.0,0.7272727272727273
71,6903,71,0.08236015442426184,0.0,0.875
72,7032,72,0.06034498665844694,0.0,0.8461538461538461
73,7097,73,0.07233737784263213,0.0,0.875
74,7186,74,0.27286379137034106,0.0,0.625
75,7267,75,0.14823500258481365,0.0,0.8
76,7308,76,0.24661165951751174,0.0,0.8
77,7389,77,0.10941360243767849,0.0,0.7
78,7494,78,0.2285697641373274,0.0,0.7857142857142857
79,7663,79,0.15044155024556122,0.0,0.6923076923076923
80,7752,80,0.18303712800241642,0.0,0.7
81,7857,81,0.06365979824091483,0.0,0.8571428571428571
82,7890,82,0.17327964535452337,0.0,0.5
83,7987,83,0.17904063323934674,0.0,0.8421052631578947
84,8012,84,0.0974885117379017,1.0,1.0
85,8029,85,0.15304562891251408,0.0,0.75
86,8230,86,0.18186881001764557,0.0,0.8780487804878049
87,8383,87,0.04489183375529185,0.0,0.9090909090909091
88,8464,88,0.09079054450236436,0.0,0.8823529411764706
89,8769,89,0.07991065118391458,0.0,0.8148148148148148
90,8818,90,0.051810155586669376,1.0,1.0
91,8883,91,0.05610701071838776,0.0,0.8
92,8924,92,0.05581610508216546,1.0,1.0
93,9077,93,0.03409242687795133,0.0,0.8
94,9182,94,0.18640816335124186,0.0,0.782608695652174
95,9303,95,0.025974952686364603,1.0,1.0
96,9392,96,0.1437101332578922,0.0,0.7916666666666666
97,9449,97,0.09128593941911406,0.0,0.8
98,9514,98,0.14004953996804348,0.0,0.8666666666666667
99,9579,99,0.20665312768291186,0.0,0.5
100,9660,100,0.12181348446114862,0.0,0.875
101,9941,101,0.03415911179568086,0.0,0.9375
102,10094,102,0.06167051408978199,0.0,0.8461538461538461
103,10143,103,0.2712533724712557,0.0,0.7777777777777778
104,10216,104,0.22208011050328624,0.0,0.8076923076923077
105,10265,105,0.21646213117919005,0.0,0.6666666666666666
106,10314,106,0.19892874795840423,0.0,0.9333333333333333
107,10347,107,0.06959823325478283,1.0,1.0
108,10388,108,0.04568584677623585,1.0,1.0
109,10501,109,0.03002168703244284,1.0,1.0
110,10574,110,0.15801687201649958,0.0,0.75
111,10639,111,0.053096803576409,0.0,0.8333333333333334
112,10688,112,0.03788730463410805,1.0,1.0
113,10745,113,0.05878889842307087,1.0,1.0
114,10794,114,0.0369292356707471,1.0,1.0
115,10827,115,0.24387752406531946,0.0,0.5
116,10868,116,0.029526286380831157,1.0,1.0
117,10893,117,0.04674078465567921,1.0,1.0
118,10958,118,0.045369119569058966,1.0,1.0
119,11015,119,0.0676621708057376,0.0,0.9090909090909091
120,11048,120,0.04714255271723232,1.0,1.0
121,11073,121,0.3651615479968313,0.0,0.6666666666666666
122,11178,122,0.10189145800735087,0.0,0.8928571428571429
123,11379,123,0.08150904600224458,0.0,0.8536585365853658
124,11452,124,0.1399382515607148,0.0,0.8846153846153846
125,11581,125,0.06844837461846964,0.0,0.7857142857142857
126,11750,126,0.026793641915930835,0.0,0.8
127,11871,127,0.12171764531023412,0.0,0.8095238095238095
128,11976,128,0.05478481522012422,0.0,0.7777777777777778
129,12025,129,0.16705598902003355,0.0,0.8235294117647058
130,12074,130,0.04943168850169361,1.0,1.0
131,12123,131,0.10686812764195716,0.0,0.8636363636363636
132,12228,132,0.02440955836515059,1.0,1.0
133,12293,133,0.025570601458530292,1.0,1.0
134,12382,134,0.030193820928609724,0.0,0.8
135,12463,135,0.030365924661912687,1.0,1.0
136,12632,136,0.15953124891873033,0.0,0.8181818181818182
137,12801,137,0.06033347945198849,0.0,0.9230769230769231
138,12850,138,0.1350889632347389,0.0,0.8888888888888888
139,12955,139,0.0701666944855242,0.0,0.9130434782608695
140,13020,140,0.17019208688619983,0.0,0.8636363636363636
141,13213,141,0.02451525984975281,1.0,1.0
142,13334,142,0.08968430646817432,0.0,0.8928571428571429
143,13383,143,0.11145368450210298,0.0,0.8
144,13776,144,0.03513965204840244,0.0,0.7647058823529411
145,13833,145,0.0313612305711987,1.0,1.0
146,13930,146,0.11454307056393494,0.0,0.8
147,14019,147,0.11879606067042914,0.0,0.875
148,14132,148,0.026569550923877614,1.0,1.0
149,14197,149,0.04247044801533775,1.0,1.0
150,14286,150,0.08553666867788046,0.0,0.9166666666666666
151,14391,151,0.07574446294641977,0.0,0.8125
152,14432,152,0.04659673600108363,1.0,1.0
153,14513,153,0.13966115825381714,0.0,0.8235294117647058
154,14546,154,0.05444324095728008,0.0,0.875
155,14635,155,0.04472788392412689,0.0,0.9
156,14740,156,0.025955042620241963,1.0,1.0
157,14789,157,0.04736101560212167,1.0,1.0
158,14846,158,0.057552033726699724,0.0,0.8333333333333334
159,14879,159,0.14107584519704688,0.0,0.8181818181818182
160,14904,160,0.06453530247876188,1.0,1.0
161,14937,161,0.02435512707018461,1.0,1.0
162,15002,162,0.21272675986600006,0.0,0.7
163,15051,163,0.030447197435163012,1.0,1.0
164,15132,164,0.029799027282611856,1.0,1.0
165,15285,165,0.03520412343016639,0.0,0.9230769230769231
166,15342,166,0.03373011948220664,1.0,1.0
167,15391,167,0.15626994293372262,0.0,0.8888888888888888
168,15464,168,0.12179004556956796,0.0,0.6666666666666666
169,15545,169,0.054544565731353946,0.0,0.8571428571428571
170,15650,170,0.02673566949897717,1.0,1.0
171,15779,171,0.053502916490321586,0.0,0.9230769230769231
172,15908,172,0.13010354564532461,0.0,0.8333333333333334
173,15989,173,0.0567400234943707,0.0,0.875
174,16294,174,0.0667682506782938,0.0,0.8148148148148148
175,16359,175,0.09872214724596914,0.0,0.8666666666666667
176,16448,176,0.08775795800503726,0.0,0.9
177,16633,177,0.17471579759402592,0.0,0.7894736842105263
178,16682,178,0.0418728363760359,1.0,1.0
179,16835,179,0.029005934293404846,1.0,1.0
180,16884,180,0.10421748950274681,0.0,0.7777777777777778
181,16949,181,0.051181505689746706,1.0,1.0
182,17038,182,0.15225656820126462,0.0,0.8333333333333334
183,17199,183,0.07489609629573533,0.0,0.8125
184,17312,184,0.03211230115283667,1.0,1.0
185,17353,185,0.0660593053395569,0.0,0.9090909090909091
186,17522,186,0.16138288661032024,0.0,0.8769230769230769
187,17603,187,0.08117457139512407,0.0,0.8
188,17732,188,0.031670342832217105,1.0,1.0
189,17941,189,0.06471423426690588,0.0,0.875
190,18222,190,0.03350265852897428,0.0,0.875
191,18527,191,0.0885811240100903,0.0,0.8627450980392157
192,18544,192,0.142732459434028,0.0,0.75
193,18617,193,0.1072688816438636,0.0,0.9333333333333333
194,18786,194,0.030973418778947756,0.0,0.8
195,18843,195,0.35084872735514566,0.0,0.8181818181818182
196,18972,196,0.030147726812260772,0.0,0.8888888888888888
197,19053,197,0.10182799025721034,0.0,0.95
198,19094,198,0.049048839232535106,1.0,1.0
199,19191,199,0.0318678812403535,0.0,0.8
200,19272,200,0.09465642551201017,0.0,0.7272727272727273
201,19393,201,0.024875451319087007,1.0,1.0
202,19490,202,0.13058202136702068,0.0,0.8947368421052632
203,19555,203,0.0467830494906957,0.0,0.875
204,19620,204,0.10814095933867521,0.0,0.9444444444444444
205,19741,205,0.02311214893933114,1.0,1.0
206,19878,206,0.08796804608477994,0.0,0.8823529411764706
207,19975,207,0.049518140882828444,0.0,0.9090909090909091
208,20096,208,0.22615723887938777,0.0,0.8222222222222222
209,20185,209,0.027838939184250854,1.0,1.0
210,20250,210,0.02477415741733239,1.0,1.0
211,20427,211,0.07539030948516898,0.0,0.7692307692307693
212,20484,212,0.022295035016263034,1.0,1.0
213,20637,213,0.027753105910960585,1.0,1.0
214,20726,214,0.049924333617087875,0.0,0.9375
215,20783,215,0.03379011754752095,1.0,1.0
216,20888,216,0.02927220553786566,1.0,1.0
217,20969,217,0.055112902838154704,0.0,0.9444444444444444
218,21018,218,0.11315482614137486,0.0,0.8461538461538461
219,21075,219,0.03617433382339576,1.0,1.0
220,21148,220,0.16124437889847387,0.0,0.8333333333333334
221,21189,221,0.04698975952534965,1.0,1.0
222,21214,222,0.07644368757440437,1.0,1.0
223,21391,223,0.039704665651562124,0.0,0.9230769230769231
224,21472,224,0.03708755133184605,1.0,1.0
225,21521,225,0.059901359431181245,0.0,0.8333333333333334
226,21602,226,0.08939217418116459,0.0,0.9
227,21699,227,0.02449170028336084,1.0,1.0
228,21780,228,0.040141837915041834,0.0,0.8
229,21949,229,0.06858545569410905,0.0,0.9545454545454546
230,22014,230,0.07569663930349634,1.0,1.0
231,22119,231,0.03539216204458801,0.0,0.9565217391304348
232,22176,232,0.19344098386712305,0.0,0.8636363636363636
233,22377,233,0.04807516443452914,0.0,0.9512195121951219
